handcrafted,tot,grouplabels
2.08715,149.739,7
2.08715,149.814,7
2.08715,149.624,7
2.08715,149.79,7
31.1767,149.85,8
31.1767,149.802,8
31.1767,149.802,8
31.1767,149.84,8
31.1767,149.844,8
31.1767,149.845,8
31.1767,149.845,8
31.1767,149.717,8
31.1767,149.795,8
31.1767,149.788,8
31.1767,149.855,8
31.1767,1.65265,8
31.1767,149.728,8
31.1767,149.761,8
31.1767,149.816,8
31.1767,46.0729,8
0.336059,149.849,9
0.336059,149.829,9
0.336059,149.812,9
0.336059,149.816,9
0.336059,149.725,9
0.336059,149.843,9
0.336059,149.79,9
0.336059,149.676,9
0.336059,149.673,9
0.336059,55.7796,9
0.336059,149.679,9
0.336059,149.667,9
0.336059,149.358,9
0.336059,149.779,9
0.336059,149.788,9
19.3796,149.822,10
19.3796,149.779,10
19.3796,149.777,10
19.3796,149.775,10
19.3796,148.939,10
19.3796,149.794,10
19.3796,149.801,10
19.3796,149.832,10
19.3796,149.824,10
19.3796,149.846,10
19.3796,149.845,10
19.3796,149.848,10
19.3796,149.832,10
19.3796,149.836,10
19.3796,149.845,10
19.3796,149.853,10
5.26092,149.844,11
5.26092,149.841,11
5.26092,149.764,11
5.26092,0.0195848,11
5.26092,149.832,11
5.26092,149.752,11
5.26092,149.813,11
5.26092,149.821,11
5.26092,149.816,11
5.26092,149.816,11
5.26092,149.673,11
5.26092,149.817,11
5.26092,149.856,11
5.26092,149.818,11
5.26092,149.815,11
5.26092,149.844,11
11.0878,149.855,12
11.0878,149.791,12
11.0878,149.827,12
11.0878,149.768,12
11.0878,149.801,12
11.0878,149.714,12
11.0878,149.844,12
11.0878,149.736,12
11.0878,149.782,12
11.0878,149.767,12
11.0878,149.784,12
11.0878,149.794,12
11.0878,149.782,12
11.0878,149.743,12
11.0878,149.782,12
11.0878,149.742,12
1.23004,149.777,13
1.23004,149.036,13
1.23004,149.799,13
1.23004,149.735,13
1.23004,149.793,13
1.23004,149.772,13
1.23004,149.795,13
1.23004,149.769,13
1.23004,149.84,13
1.23004,149.801,13
1.23004,149.822,13
1.23004,149.813,13
1.23004,149.782,13
1.23004,149.772,13
1.23004,149.839,13
1.23004,149.759,13
0.97022,149.821,14
0.97022,149.834,14
0.97022,149.821,14
0.97022,149.823,14
0.97022,149.792,14
0.97022,149.771,14
0.97022,0.0039653,14
0.97022,149.813,14
0.97022,149.81,14
0.97022,149.813,14
0.97022,0.0022775,14
0.97022,149.816,14
0.97022,149.811,14
0.97022,149.824,14
0.97022,149.757,14
0.97022,149.821,14
1.8003,0.0039708,15
1.8003,149.81,15
1.8003,149.827,15
1.8003,149.805,15
1.8003,149.817,15
1.8003,149.79,15
1.8003,28.3061,15
1.8003,149.778,15
1.8003,10.3503,15
1.8003,149.815,15
1.8003,149.811,15
1.8003,149.821,15
1.8003,149.827,15
1.8003,149.81,15
1.8003,149.789,15
1.8003,149.78,15
0.009028,149.787,16
0.009028,149.754,16
0.009028,149.784,16
0.009028,149.85,16
0.009028,149.843,16
