handcrafted,tot,grouplabels,count
0.483556,149.763,17,1
0.483556,149.782,17,1
0.483556,149.848,17,1
0.483556,149.797,17,1
0.483556,149.829,17,1
0.483556,149.84,17,1
0.483556,149.781,17,1
17.8248,149.712,18,1
17.8248,149.774,18,1
17.8248,149.837,18,1
17.8248,149.798,18,1
17.8248,149.729,18,1
17.8248,149.762,18,1
17.8248,149.742,18,1
17.8248,149.686,18,1
17.8248,149.806,18,1
17.8248,149.689,18,1
17.8248,149.808,18,1
17.8248,149.834,18,1
17.8248,149.745,18,1
17.8248,149.804,18,1
17.8248,149.766,18,1
17.8248,149.842,18,1
0.569987,149.755,19,1
0.569987,144.83,19,1
0.569987,149.668,19,1
0.569987,149.773,19,1
0.569987,149.794,19,1
0.569987,149.77,19,1
0.569987,149.799,19,1
0.569987,149.801,19,1
