handcrafted_solvetime,tot_solvetime,handcrafted_objective,tot_objective,grouplabels
0.017,0.044,1,1,5
0.017,149.723,1,20,5
0.017,149.613,1,20,5
0.017,0.159,1,1,5
0.017,0.19,1,1,5
0.026,0.046,3,5,6
0.026,0.09,3,5,6
0.026,0.042,3,5,6
0.026,0.045,3,5,6
0.026,0.078,3,5,6
0.026,16.614,3,5,6
0.026,0.064,3,5,6
0.026,22.173,3,5,6
0.026,0.049,3,5,6
0.026,0.1,3,5,6
0.026,0.05,3,5,6
0.026,0.301,3,5,6
0.026,0.203,3,5,6
0.026,0.066,3,5,6
0.026,0.049,3,5,6
0.025,0.104,1,1,7
0.025,0.056,1,1,7
0.025,0.069,1,1,7
0.025,0.072,1,1,7
0.025,0.003,1,20,7
0.032,0.055,1,1,8
0.032,0.079,1,1,8
0.032,0.057,1,1,8
0.032,0.055,1,1,8
0.032,149.618,1,20,8
0.032,149.652,1,20,8
0.032,0.047,1,1,8
0.032,0.073,1,1,8
0.032,0.042,1,1,8
0.032,0.054,1,1,8
0.032,0.067,1,1,8
0.032,0.062,1,1,8
0.032,0.073,1,1,8
0.032,0.074,1,1,8
0.032,0.086,1,1,8
0.032,0.04,1,1,8
1.162,2.05,5,6,9
1.162,86.392,5,6,9
1.162,2.169,5,6,9
1.162,2.991,5,6,9
1.162,1.275,5,6,9
1.162,2.226,5,6,9
1.162,1.914,5,6,9
1.162,1.798,5,6,9
1.162,2.792,5,6,9
1.162,1.146,5,6,9
1.162,0.883,5,6,9
1.162,1.165,5,6,9
1.162,68.004,5,6,9
1.162,72.561,5,6,9
11.495,14.362,5,7,10
11.495,11.172,5,7,10
11.495,9.87,5,7,10
11.495,20.225,5,7,10
11.495,16.22,5,7,10
11.495,15.405,5,7,10
11.495,9.993,5,7,10
11.495,14.293,5,7,10
11.495,13.539,5,7,10
11.495,14.316,5,7,10
11.495,149.62,5,18,10
11.495,18.882,5,7,10
11.495,16.015,5,7,10
11.495,27.26,5,7,10
11.495,55.913,5,7,10
0.047,0.291,3,4,11
0.047,0.102,3,4,11
0.047,149.792,3,20,11
0.047,0.385,3,4,11
0.047,0.088,3,4,11
0.047,24.904,3,4,11
0.047,0.09,3,4,11
0.047,0.111,3,4,11
0.047,0.091,3,4,11
0.047,0.065,3,4,11
0.047,0.409,3,4,11
0.047,0.084,3,4,11
0.047,0.072,3,4,11
0.047,0.206,3,4,11
0.047,0.399,3,4,11
0.047,0.068,3,4,11
0.272,0.325,7,7,12
0.272,0.351,7,7,12
0.272,0.575,7,7,12
0.272,149.787,7,20,12
0.272,0.325,7,7,12
0.272,149.781,7,20,12
0.272,0.322,7,7,12
0.272,0.486,7,7,12
0.077,0.098,5,5,13
0.077,0.091,5,5,13
0.077,0.1,5,5,13
0.077,0.092,5,5,13
0.077,0.078,5,5,13
0.077,68.649,5,5,13
0.077,0.817,5,5,13
0.077,0.157,5,5,13
0.077,0.206,5,5,13
0.077,0.112,5,5,13
0.077,0.12,5,5,13
0.077,0.123,5,5,13
0.077,0.102,5,5,13
0.077,0.092,5,5,13
8.645,4.117,13,13,14
8.645,4.137,13,13,14
8.645,10.947,13,13,14
8.645,10.778,13,13,14
8.645,4.325,13,13,14
8.645,4.289,13,13,14
8.645,10.774,13,13,14
8.645,4.627,13,13,14
8.645,8.964,13,13,14
8.645,9.159,13,13,14
149.883,149.788,2,16,15
149.883,149.689,2,16,15
