solvetime_diff,handcrafted_obj,tot_obj,count
149.814,2,16,1
149.793,2,16,1
149.785,2,16,2
149.794,2,16,1
149.684,2,16,1
149.79,2,16,1
149.677,2,16,1
149.725,2,16,2
0.304,5,9,2
0.091,5,9,2
0.268,5,9,1
0.086,5,9,2
0.109,5,9,2
0.084,5,9,2
0.083,5,9,1
0.295,5,9,1
0.305,5,9,1
0.093,5,9,1
0.285,5,9,1
0.099,5,9,1
0.04,2,3,4
0.042,2,3,2
149.799,2,20,1
0.066,2,3,1
0.09,2,6,1
0.027,2,3,1
0.026,2,3,1
0.193,2,3,1
0.043,2,3,4
149.788,2,20,1
0.036,2,3,2
0.107,2,3,1
0.118,2,3,1
0.229,4,5,1
0.149,4,5,1
27.454,4,5,1
0.068,4,5,1
0.088,4,5,1
0.236,4,5,1
25.514,4,5,1
0.115,4,5,2
0.606,4,5,1
0.584,4,5,1
0.751,4,5,1
0.672,4,5,1
0.577,4,5,1
0.421,4,5,1
0.583,4,5,1
0.114,4,5,1
0.078,4,5,1
0.462,4,5,1
0.387,4,5,1
149.687,4,17,1
0.072,6,6,1
0.14,6,6,1
0.269,6,6,1
0.327,6,6,1
0.125,6,6,1
1.788,6,6,1
1.677,6,6,1
0.097,6,6,2
149.751,6,20,1
0.068,6,6,1
0.028,1,1,2
2.412,1,1,1
149.627,1,20,1
149.632,1,20,1
0.056,1,1,1
149.555,1,20,1
0.044,1,1,2
0.028,1,1,3
149.211,1,20,1
149.681,1,20,1
149.638,1,20,1
0.043,1,1,2
0.039,1,1,2
0.045,1,1,1
0.648,1,1,1
0.699,1,1,1
0.05,1,1,2
0.059,2,4,1
0.04,2,4,1
0.051,2,4,1
0.099,2,4,1
0.077,2,4,1
0.184,6,7,1
0.064,6,7,1
0.232,6,7,1
0.075,6,7,1
0.066,6,7,1
0.253,6,7,1
0.069,6,7,2
0.323,6,7,1
0.057,6,7,2
0.034,1,1,4
109.335,1,1,1
149.676,1,7,1
0.029,1,1,1
0.031,1,1,2
149.623,1,7,1
149.67,1,7,1
0.076,1,1,1
0.041,1,1,1
0.028,1,1,1
0.075,3,5,2
0.053,3,5,1
0.092,3,5,1
0.13,3,5,1
0.087,3,5,2
0.096,3,5,1
0.062,1,1,1
0.059,1,1,3
149.648,1,20,1
0.058,1,1,1
0.064,1,1,1
0.052,1,1,2
0.061,1,1,1
0.05,1,1,3
149.663,1,20,1
149.572,1,20,1
149.651,1,20,1
0.057,1,1,1
0.106,1,1,1
0.127,1,1,1
0.056,1,1,5
149.606,1,20,1
0.051,1,1,2
149.577,1,20,1
149.645,1,20,1
149.63,1,20,1
149.653,1,20,1
149.612,1,20,1
0.064,1,1,3
0.06,1,1,2
149.655,1,20,1
2.136,5,6,1
2.262,5,6,1
2.203,5,6,1
74.796,5,6,1
71.19,5,6,1
1.935,5,6,1
2.497,5,6,1
2.376,5,6,1
1.95,5,6,1
2.011,5,6,1
70.097,5,6,1
1.898,5,6,1
1.222,5,6,1
2.074,5,6,1
2.39,5,6,1
9.418,5,7,1
19.314,5,7,1
9.002,5,7,1
16.795,5,7,1
9.493,5,7,1
17.335,5,7,1
16.852,5,7,1
92.31,5,7,1
17.896,5,7,1
29.757,5,7,1
15.16,5,7,1
15.081,5,7,1
6.545,5,7,1
6.429,5,7,1
5.903,5,7,1
5.956,5,7,1
0.083,3,4,1
0.086,3,4,1
5.984,3,4,1
0.076,3,4,1
0.207,3,4,1
0.101,3,4,1
0.092,3,4,1
0.098,3,4,1
7.786,3,13,1
90.806,7,7,1
0.346,7,7,1
0.378,7,7,1
0.34,7,7,1
0.768,7,7,1
0.329,7,7,1
0.414,7,7,1
0.319,7,7,1
0.312,7,7,1
19.71,7,7,1
14.632,7,7,1
0.334,7,7,1
1.354,7,7,1
1.328,7,7,1
1.001,7,7,1
0.134,5,5,1
0.114,5,5,1
0.085,5,5,2
0.111,5,5,1
0.057,5,5,1
0.276,5,5,1
0.13,5,5,2
0.351,5,5,1
0.491,5,5,1
0.088,5,5,1
0.115,5,5,1
0.082,5,5,1
0.087,5,5,1
4.554,13,13,1
16.264,13,13,1
13.586,13,13,1
4.857,13,13,1
4.794,13,13,1
4.846,13,13,1
4.39,13,13,1
6.647,13,13,1
11.176,13,13,1
10.27,13,13,1
7.506,13,13,1
11.663,13,13,1
9.845,13,13,1
9.612,13,13,1
9.627,13,13,1
149.752,2,16,1
149.62,2,16,1
149.758,2,16,1
149.737,2,16,1
149.709,2,16,1
149.721,2,16,1
149.756,2,16,1
149.753,2,16,1
149.735,2,16,1
149.768,2,16,1
149.746,2,16,1
0.073,5,9,1
0.204,5,9,1
0.178,5,9,1
0.097,5,9,3
0.171,5,9,1
0.115,5,9,2
0.22,5,9,1
0.255,5,9,1
0.101,5,9,1
0.073,2,3,1
0.047,2,3,2
0.046,2,3,4
149.763,2,20,1
0.058,2,3,1
149.756,2,20,1
0.031,4,5,1
0.041,4,5,2
0.044,4,5,2
0.259,4,5,1
0.036,4,5,3
0.178,4,5,1
0.15,4,5,1
0.119,4,5,3
0.128,4,5,1
0.224,4,5,1
0.211,4,5,1
0.133,4,5,1
0.082,4,5,1
0.073,4,5,1
0.062,4,5,1
0.055,4,5,1
0.061,4,5,1
0.059,4,5,1
0.227,4,5,1
0.289,4,5,1
0.179,6,6,1
0.128,6,6,1
0.155,6,6,1
0.091,6,6,1
0.105,6,6,2
0.099,6,6,3
0.211,6,6,1
0.44,6,6,1
0.088,6,6,1
0.132,6,6,1
0.106,6,6,2
0.024,1,1,2
0.022,1,1,1
149.76,1,20,1
0.068,1,1,1
149.547,1,4,1
149.557,1,20,1
0.033,1,1,3
0.027,1,1,1
0.032,1,1,1
0.035,1,1,1
0.029,1,1,1
0.409,1,1,1
0.037,1,1,1
0.048,1,1,4
0.055,2,4,2
0.083,2,4,1
0.054,2,4,1
0.297,2,4,1
0.28,2,4,1
149.742,2,20,1
0.104,2,4,1
0.121,2,5,1
0.094,2,4,1
0.09,2,4,1
149.641,2,20,1
0.06,6,7,1
0.251,6,7,1
0.086,6,7,1
0.357,6,7,1
0.527,6,7,1
0.361,6,7,1
0.079,6,7,2
0.091,6,7,1
38.766,6,7,1
0.068,6,7,1
0.246,6,7,2
0.058,6,7,1
10.927,6,13,1
0.079,1,1,1
149.672,1,20,1
0.051,1,1,1
0.08,1,1,1
47.012,1,1,1
0.038,1,1,1
0.033,1,1,2
0.05,1,1,1
0.079,3,5,1
0.086,3,5,1
0.118,3,5,1
0.175,3,5,2
0.056,3,5,1
0.055,3,5,1
0.048,3,5,1
0.486,3,5,1
0.089,3,5,1
0.235,3,5,1
0.209,3,5,1
33.345,3,5,1
149.621,1,20,1
0.054,1,1,1
0.081,1,1,2
0.122,1,1,1
0.082,1,1,1
0.053,1,1,1
0.09,1,1,1
0.077,1,1,1
0.046,1,1,2
0.048,1,1,1
149.632,1,18,1
0.089,1,1,1
1.083,1,1,1
0.076,1,1,1
2.809,5,6,1
1.934,5,6,1
1.965,5,6,1
2.007,5,6,1
5.152,5,6,1
1.831,5,6,1
3.658,5,6,1
71.049,5,6,1
2.097,5,6,1
2.155,5,6,1
5.128,5,6,1
1.246,5,6,1
1.331,5,6,1
1.997,5,6,1
2.068,5,6,1
6.224,5,7,1
6.082,5,7,1
15.281,5,7,1
15.353,5,7,1
15.954,5,7,1
21.319,5,7,1
36.725,5,7,1
33.895,5,7,1
7.389,5,6,1
65.018,5,6,1
64.972,5,7,1
6.387,5,7,1
16.113,5,7,1
0.093,3,4,2
0.047,3,4,1
23.514,3,4,1
0.05,3,4,1
0.043,3,4,1
0.071,3,4,1
