handcrafted,tot,grouplabels
0.163,0.7170000000000001,13
0.163,0.9650000000000001,13
0.163,0.2,13
0.163,0.27,13
0.163,0.21000000000000002,13
0.163,0.244,13
12.372,4.503,14
12.372,15.985,14
12.372,13.135000000000002,14
12.372,4.581,14
12.372,4.470000000000001,14
12.372,4.489000000000001,14
12.372,4.47,14
12.372,6.563000000000001,14
12.372,11.185,14
12.372,20.116,14
12.372,7.085,14
12.372,11.683,14
12.372,17.603,14
12.372,11.424999999999999,14
12.372,9.681000000000001,14
149.821,149.85800000000003,15
149.821,149.859,15
149.821,149.815,15
149.821,149.827,15
149.821,149.8,15
149.821,149.84000000000003,15
149.821,149.814,15
149.821,149.827,15
149.821,149.82199999999997,15
149.821,149.82099999999997,15
149.821,149.81900000000002,15
149.821,149.828,15
149.821,149.83,15
149.821,149.824,15
0.21300000000000002,0.18400000000000002,16
0.21300000000000002,0.41600000000000004,16
0.21300000000000002,0.29700000000000004,16
0.21300000000000002,0.204,16
0.21300000000000002,0.23399999999999999,16
0.21300000000000002,0.495,16
0.21300000000000002,0.191,16
0.21300000000000002,0.5249999999999999,16
0.21300000000000002,0.6839999999999999,16
0.21300000000000002,0.203,16
0.21300000000000002,0.17200000000000001,16
0.13,0.134,17
0.13,0.23399999999999999,17
0.13,0.14100000000000001,17
0.13,0.135,17
0.13,0.14100000000000001,17
0.13,149.85399999999998,17
0.13,0.186,17
0.13,0.14900000000000002,17
0.13,0.156,17
0.13,0.156,17
0.13,149.828,17
0.13,0.13,17
0.194,0.129,18
0.194,0.14800000000000002,18
0.194,0.11,18
0.194,0.581,18
0.194,0.126,18
0.194,0.11199999999999999,18
0.194,0.119,18
0.194,0.17500000000000002,18
0.194,0.182,18
0.194,0.14700000000000002,18
0.313,0.324,19
0.313,0.322,19
0.313,0.303,19
0.313,0.309,19
0.313,0.315,19
0.313,0.488,19
0.313,0.482,19
0.313,0.307,19
0.313,0.22300000000000003,19
0.313,0.186,19
0.313,0.186,19
0.313,0.153,19
0.313,0.177,19
0.313,0.20800000000000002,19
0.313,0.511,19
0.313,0.522,19
0.238,0.196,0
0.238,0.272,0
0.238,0.31,0
0.238,0.27099999999999996,0
0.238,0.168,0
0.238,0.16599999999999998,0
0.238,0.164,0
0.238,0.172,0
0.238,0.284,0
0.238,0.627,0
0.238,0.241,0
0.238,0.266,0
0.238,0.276,0
